ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"GESHIP","EQ","27-Oct-2025","1,022.80","1,026.30","1,060.00","1,021.00","1,052.50","1,052.50","1,045.05","6,30,334","65,87,29,427.20","28,812","4,10,183","65.07"
"GESHIP","EQ","28-Oct-2025","1,052.50","1,065.00","1,087.00","1,038.50","1,051.10","1,058.05","1,062.13","9,05,511","96,17,68,708.40","75,444","4,33,505","47.87"
"GESHIP","EQ","29-Oct-2025","1,058.05","1,046.00","1,082.00","1,046.00","1,077.00","1,071.90","1,069.45","4,55,111","48,67,19,896.65","19,856","3,01,376","66.22"
"GESHIP","EQ","30-Oct-2025","1,071.90","1,074.05","1,090.00","1,066.75","1,082.20","1,083.65","1,081.99","3,13,289","33,89,76,642.25","19,490","1,44,372","46.08"
"GESHIP","EQ","31-Oct-2025","1,083.65","1,088.10","1,137.70","1,076.10","1,100.00","1,099.60","1,110.96","12,10,045","1,34,43,13,464.60","49,508","4,37,856","36.19"
"GESHIP","EQ","03-Nov-2025","1,099.60","1,101.00","1,112.30","1,079.00","1,082.10","1,084.60","1,093.52","2,38,515","26,08,20,137.90","17,500","1,01,260","42.45"
"GESHIP","EQ","04-Nov-2025","1,084.60","1,082.10","1,095.00","1,050.00","1,052.00","1,053.40","1,070.41","4,42,426","47,35,77,427.60","24,350","1,86,950","42.26"
"GESHIP","EQ","06-Nov-2025","1,053.40","1,053.40","1,064.80","1,044.10","1,050.00","1,049.50","1,052.25","2,01,180","21,16,90,851.00","13,396","77,488","38.52"
"GESHIP","EQ","07-Nov-2025","1,049.50","1,044.20","1,088.00","1,035.10","1,086.30","1,085.20","1,073.63","4,32,319","46,41,50,324.80","25,479","2,12,978","49.26"
"GESHIP","EQ","10-Nov-2025","1,085.20","1,084.90","1,093.30","1,064.00","1,087.30","1,089.60","1,083.77","4,00,513","43,40,64,498.80","21,443","1,90,594","47.59"
"GESHIP","EQ","11-Nov-2025","1,089.60","1,094.00","1,124.50","1,082.00","1,110.00","1,108.80","1,109.64","11,67,229","1,29,52,06,152.70","35,893","7,53,941","64.59"
"GESHIP","EQ","12-Nov-2025","1,108.80","1,118.00","1,179.00","1,110.50","1,156.50","1,159.00","1,161.90","19,56,849","2,27,36,64,631.20","87,581","6,95,691","35.55"
"GESHIP","EQ","13-Nov-2025","1,159.00","1,162.00","1,163.90","1,125.60","1,138.00","1,136.00","1,140.30","3,43,674","39,18,92,238.60","17,979","1,84,905","53.80"
"GESHIP","EQ","14-Nov-2025","1,136.00","1,130.00","1,144.70","1,128.30","1,133.00","1,133.20","1,135.22","1,49,980","17,02,60,149.90","9,418","57,328","38.22"
"GESHIP","EQ","17-Nov-2025","1,133.20","1,134.90","1,144.40","1,110.70","1,138.00","1,133.40","1,127.91","3,24,663","36,61,92,123.60","16,867","1,73,546","53.45"
"GESHIP","EQ","18-Nov-2025","1,133.40","1,134.90","1,140.90","1,119.10","1,132.10","1,131.30","1,128.92","2,29,510","25,90,99,560.30","17,844","1,28,091","55.81"
"GESHIP","EQ","19-Nov-2025","1,131.30","1,131.80","1,135.50","1,115.60","1,115.70","1,117.20","1,122.76","1,21,509","13,64,26,031.80","9,795","73,035","60.11"
"GESHIP","EQ","20-Nov-2025","1,117.20","1,124.70","1,125.00","1,095.50","1,100.00","1,100.60","1,109.79","1,95,938","21,74,50,337.80","17,574","1,04,892","53.53"
"GESHIP","EQ","21-Nov-2025","1,100.60","1,100.00","1,125.10","1,088.00","1,088.00","1,096.60","1,101.23","2,63,915","29,06,30,987.70","23,242","1,02,474","38.83"
"GESHIP","EQ","24-Nov-2025","1,096.60","1,096.60","1,103.20","1,074.70","1,084.30","1,088.10","1,087.84","2,64,469","28,76,99,885.80","17,799","1,61,835","61.19"
"GESHIP","EQ","25-Nov-2025","1,088.10","1,080.10","1,091.50","1,056.90","1,064.20","1,064.00","1,069.57","2,54,447","27,21,49,656.20","23,902","1,18,837","46.70"
"GESHIP","EQ","26-Nov-2025","1,064.00","1,066.80","1,098.00","1,065.30","1,095.80","1,093.90","1,085.94","2,51,856","27,35,00,545.70","19,505","1,45,646","57.83"
"GESHIP","EQ","27-Nov-2025","1,093.90","1,099.90","1,115.90","1,077.20","1,095.10","1,095.00","1,094.11","2,73,240","29,89,53,906.20","16,438","1,08,754","39.80"
"GESHIP","EQ","28-Nov-2025","1,095.00","1,100.50","1,113.00","1,091.80","1,106.90","1,106.90","1,104.43","2,25,440","24,89,81,917.90","15,319","1,28,793","57.13"
"GESHIP","EQ","01-Dec-2025","1,106.90","1,115.20","1,133.10","1,106.00","1,123.00","1,125.00","1,123.36","3,26,530","36,68,12,019.00","18,996","1,83,817","56.29"
"GESHIP","EQ","02-Dec-2025","1,125.00","1,124.00","1,129.00","1,083.60","1,097.90","1,097.10","1,098.51","2,70,581","29,72,36,046.10","19,829","1,21,706","44.98"
"GESHIP","EQ","03-Dec-2025","1,097.10","1,103.80","1,117.00","1,090.70","1,099.50","1,105.00","1,105.43","2,53,758","28,05,10,850.80","16,873","1,68,554","66.42"
"GESHIP","EQ","04-Dec-2025","1,105.00","1,103.10","1,112.00","1,092.00","1,102.10","1,104.00","1,106.76","2,13,429","23,62,15,395.60","12,115","1,36,247","63.84"
"GESHIP","EQ","05-Dec-2025","1,104.00","1,098.90","1,101.40","1,085.30","1,090.00","1,091.00","1,092.65","1,39,871","15,28,30,620.90","14,561","84,649","60.52"
"GESHIP","EQ","08-Dec-2025","1,091.00","1,091.00","1,095.00","1,058.70","1,070.50","1,071.40","1,073.59","1,83,398","19,68,94,719.80","15,195","1,02,828","56.07"
"GESHIP","EQ","09-Dec-2025","1,071.40","1,071.70","1,080.00","1,057.10","1,080.00","1,076.80","1,071.67","2,02,552","21,70,69,885.40","16,768","1,25,548","61.98"
"GESHIP","EQ","10-Dec-2025","1,076.80","1,072.90","1,095.40","1,071.10","1,081.00","1,085.90","1,085.44","1,59,611","17,32,48,826.30","12,405","95,883","60.07"
"GESHIP","EQ","11-Dec-2025","1,085.90","1,084.00","1,100.80","1,074.00","1,096.70","1,095.80","1,092.60","1,89,158","20,66,73,215.80","15,271","1,20,264","63.58"
"GESHIP","EQ","12-Dec-2025","1,095.80","1,095.30","1,124.00","1,090.00","1,111.50","1,109.40","1,107.70","10,64,391","1,17,90,29,839.40","24,541","8,48,473","79.71"
"GESHIP","EQ","15-Dec-2025","1,109.40","1,110.50","1,131.70","1,102.20","1,126.80","1,128.80","1,121.59","1,93,579","21,71,16,314.10","15,929","99,753","51.53"
"GESHIP","EQ","16-Dec-2025","1,128.80","1,131.40","1,131.40","1,102.00","1,106.00","1,105.10","1,111.09","1,63,641","18,18,20,143.40","14,267","94,479","57.74"
"GESHIP","EQ","17-Dec-2025","1,105.10","1,107.00","1,116.90","1,104.40","1,106.00","1,112.00","1,110.57","1,99,388","22,14,34,956.90","21,772","1,35,158","67.79"
"GESHIP","EQ","18-Dec-2025","1,112.00","1,103.80","1,122.50","1,103.80","1,112.00","1,111.80","1,114.11","1,70,741","19,02,24,537.80","16,559","93,339","54.67"
"GESHIP","EQ","19-Dec-2025","1,111.80","1,111.80","1,133.60","1,087.20","1,092.20","1,092.90","1,111.74","3,58,177","39,82,01,171.10","38,129","1,97,872","55.24"
"GESHIP","EQ","22-Dec-2025","1,092.90","1,101.60","1,114.80","1,092.60","1,111.00","1,112.20","1,106.00","1,38,797","15,35,08,902.60","12,853","69,966","50.41"
"GESHIP","EQ","23-Dec-2025","1,112.20","1,114.90","1,137.00","1,092.60","1,105.50","1,109.10","1,108.90","3,34,052","37,04,31,051.70","18,603","1,92,263","57.55"
"GESHIP","EQ","24-Dec-2025","1,109.10","1,105.00","1,112.70","1,097.00","1,111.80","1,109.70","1,105.16","1,96,263","21,69,02,859.10","20,080","1,02,126","52.04"